[5.0-9.0] 各位市長會賓 活動即將開始 請盡速入座 謝謝
[9.0-59.8] 市長會賓 活動即將開始 請盡速入座 謝謝
[59.8-74.9] 市長嘉賓 本次會議將接下來進行的是第六場工作坊
[74.9-78.9] 有請張哲文張老師 謝謝
[78.9-81.9] 好 各位老師大家好
[81.9-85.9] 那 剛剛醫藥師保有休息了一陣子
[85.9-89.9] 對 那我們下午 也是我個人的最後一場
[89.9-91.9] 好 努力的把這場看完這樣子
[91.9-95.9] 那 我想說在下午場開始之前
[95.9-99.9] 我想說先把那個上午有一個小部分沒有結束的地方
[2532.6-2534.6] 人文研究的Hannes工程
[2534.6-2536.6] 為什麼不同的地方呢
[2536.6-2537.6] 或不同的特點呢
[2537.6-2539.6] 或是說我們應該重視什麼
[2539.6-2541.6] 就跟我昨天所講的一樣
[2541.6-2543.6] 其實我們強調個人使用者的個人特色
[2543.6-2545.6] 個人的經驗以及與他人的
[2545.6-2547.6] 鏈結或者是說共鳴
[2547.6-2548.6] 還有我們的閱讀的經驗
[2548.6-2551.6] 以及我們所筆記的一些文筆的風格
[2551.6-2553.6] 其實這些東西都可能是
[2553.6-2555.6] 我們必須要重視的
[2555.6-2557.6] 一樣人文研究的工作的流程
[2557.6-2558.6] 以及質量的判斷
[2558.6-2560.6] 還有資料的檢證
[2560.6-2562.6] 其實也都是非常的重要
[2562.6-2564.6] 如何把它統合在一起
[2564.6-2565.6] 那我稍微講一下
[2565.6-2567.6] 前一陣子這位先生呢
[2567.6-2569.6] 就是做了一個非常重要的東西
[2569.6-2570.6] 他還小我一歲耶
[2570.6-2573.6] 他呢就是我們最近有一陣子
[2573.6-2574.6] 很有名的open cloud
[2574.6-2578.6] 就是龍蝦的一個設計者
[2578.6-2580.6] 那我們如何從AI的視角
[2580.6-2582.6] 去了解龍蝦呢
[2582.6-2583.6] 有點複雜
[2583.6-2584.6] 那我們基本上
[2584.6-2586.6] 用這個圖來講就好
[2586.6-2588.6] 其實龍蝦好像很厲害
[2588.6-2589.6] 大家有一陣子大家都在養龍蝦
[2589.6-2590.6] 因為中國大陸
[2590.6-2591.6] 可是養了一陣子之後
[2591.6-2592.6] 現在風潮好像就結束了
[2592.6-2593.6] 反正就結束了
[2593.6-2594.6] 其實他很簡單
[2594.6-2596.6] 他就是一樣剛剛那個架構
[2596.6-2599.6] 只是說他把網路的通訊
[2599.6-2603.6] 包含在了一個框架裡面去
[2603.6-2606.6] 然後呢透過網路雲端的服務
[2606.6-2608.6] 或者是網路通訊的協定
[2608.6-2611.6] 把網路通訊的協定包含在agent裡面去
[2611.6-2612.6] 那如此一來
[2612.6-2614.6] 人們只要透過手機
[2614.6-2618.6] 就能夠去遠端的控制自己遠端的電腦
[2618.6-2620.6] 你可能可以同時有很多臺電腦
[2620.6-2621.6] 而這個電腦呢
[2621.6-2622.6] 每一臺電腦裡面呢
[2622.6-2624.6] 都有一個屬於自己的agent
[2624.6-2625.6] 然後你就可以去控制
[2625.6-2628.6] 裡面的你自己電腦所有的東西
[2628.6-2629.6] 那在這樣的情況之下呢
[2629.6-2631.6] 使用者就可以怎麼樣
[2631.6-2633.6] 就可以透過問一個問題
[2633.6-2634.6] 把東西任務拆解
[2634.6-2636.6] 然後呢發給各個不同雲端電腦
[2636.6-2637.6] 幫你整理好之後
[2637.6-2638.6] 就把它統合起來
[2638.6-2640.6] 發回到你的手機裡
[2640.6-2641.6] 所以我的手機
[2641.6-2642.6] 前一陣子我的工作生
[2642.6-2643.6] 有幫我安裝一個
[2643.6-2645.6] 安裝一個cloud在裡面
[2645.6-2646.6] 我就
[2646.6-2647.6] 比如說我走到戶外
[2647.6-2650.6] 就看到一些臺灣的寺廟
[2650.6-2651.6] 很多的點額嘛
[2651.6-2652.6] 就把它拍起來
[2652.6-2653.6] 就說請幫我記錄
[2653.6-2655.6] 他就會幫我記錄到我的電腦裡面
[2655.6-2656.6] 去了
[2656.6-2657.6] 或者是有一些點額裡面
[2657.6-2658.6] 有一些文字
[2658.6-2659.6] 請幫我分析
[2659.6-2660.6] 他可以分析好
[2660.6-2661.6] 直接就可以放到
[2661.6-2662.6] 我的電腦裡面去了
[2662.6-2663.6] 所以我透過手機
[2663.6-2664.6] 就能夠免得控制
[2664.6-2665.6] 我許許多的電腦
[2665.6-2667.6] 簡單說它就是把網路通訊
[2667.6-2668.6] 把它包含在什麼
[2668.6-2670.6] 包含在整個agent的
[2670.6-2672.6] 設計的範圍裡面而已
[2672.6-2673.6] 簡單來講是這麼說
[2673.6-2674.6] 當然內部呢
[2674.6-2676.6] 其實有很多很多的一些設計的
[2676.6-2677.6] 一些流程啊
[2677.6-2679.6] 然後還有一個什麼路由器
[2679.6-2680.6] 怎麼樣去分配
[2680.6-2681.6] 這些東西還有任務
[2681.6-2683.6] 怎麼樣去進行前後的排隊
[2683.6-2684.6] 這些東西呢
[2684.6-2685.6] 我們就
[2685.6-2686.6] 沒有時間
[2686.6-2687.6] 我們就
[2687.6-2688.6] 就跳過
[2688.6-2689.6] 就跳過
[2689.6-2690.6] 就跳過
[2690.6-2691.6] 也就是說
[2691.6-2692.6] 其實你會發現
[2692.6-2694.6] 不管怎麼樣子的變化
[2694.6-2696.6] 那個關鍵性就是在於
[2696.6-2698.6] 我們到底要什麼
[2698.6-2699.6] 我再講一個例子
[2699.6-2700.6] 可能會更
[2700.6-2701.6] 對我們來講
[2701.6-2702.6] 可能會更現實
[2702.6-2703.6] 假設說
[2703.6-2704.6] 今天老師
[2704.6-2706.6] 今天教授催期末報告的email
[2706.6-2709.6] 寫到學生的email裡面去的時候
[2709.6-2710.6] 教授晚上10點
[2710.6-2711.6] 寄信跟你講說
[2711.6-2712.6] 你明天一定要做什麼
[2712.6-2714.6] 做你的期末報告
[2714.6-2715.6] open power
[2715.6-2716.6] 寫信的時候
[2716.6-2717.6] 發現是教授寫的信
[2717.6-2718.6] 所以非常的緊急
[2718.6-2719.6] 他就讀取裡面的內容
[2719.6-2721.6] 他發現裡面的內容非常的緊急
[2721.6-2722.6] 所以呢
[2722.6-2723.6] 他開始根據裡面的內容
[2723.6-2725.6] 根據他過去的email的內容
[2725.6-2726.6] 你知道
[2726.6-2727.6] 你可能是修中國經濟實證門課
[2727.6-2729.6] 你明天一定要教我們一個報告
[2729.6-2730.6] 所以呢
[2730.6-2731.6] 他知道之後
[2731.6-2732.6] 他就馬上的到網路上去搜尋
[2732.6-2733.6] 自動
[2733.6-2734.6] 全部這個過程都是自動
[2734.6-2736.6] 去搜尋可能的摘要
[2736.6-2737.6] 然後呢
[2737.6-2738.6] 呼叫通訊軟體
[2738.6-2740.6] 把上述的訊息告訴你
[2740.6-2742.6] 當你知道了這個訊息之後
[2742.6-2744.6] 你就告訴open power說
[2744.6-2746.6] 請幫我生成期末報告
[2746.6-2747.6] 題目是圈圈圈 叉叉叉
[2747.6-2748.6] 然後呢
[2748.6-2749.6] open power收到之後呢
[2749.6-2750.6] 就開始搜
[2750.6-2751.6] 先提一件事情是
[2751.6-2753.6] 收集教授的資訊
[2753.6-2755.6] 然後理解教授的偏好
[2755.6-2757.6] 比如說我研究中的關係史
[2757.6-2760.6] 他知道我喜歡跟德國相關的
[2760.6-2761.6] 他就知道這個老師是研究的
[2761.6-2763.6] 他就開始去找中國經濟史
[2763.6-2764.6] 跟德國相關的
[2764.6-2765.6] 網路上的所有的資料
[2765.6-2767.6] 然後把它整合起來之後
[2767.6-2768.6] 然後檢視前面的信箱
[2768.6-2772.6] 知道理解你過去的期末報告的要求跟方向
[2772.6-2773.6] 他就知道你的要求跟方向是什麼了
[2773.6-2774.6] 他就知道你的要求跟方向是什麼了
[2774.6-2775.6] 然後open power就基於這些資料
[2775.6-2777.6] 透過這個東西搜尋好之後呢
[2777.6-2778.6] 再呼叫資料庫
[2778.6-2780.6] 假設資料庫都開放了
[2780.6-2781.6] 裡面相關的史料
[2781.6-2782.6] 並且下載
[2782.6-2783.6] 下載完後
[2783.6-2784.6] 自動OCR完
[2784.6-2786.6] 然後自動儲存成markdown的筆記
[2786.6-2787.6] 再根據這個筆記
[2787.6-2788.6] 跟裡面網站的內容
[2788.6-2789.6] 檢視相關的著作
[2789.6-2791.6] 瞭解當前的研究趨勢
[2791.6-2793.6] 最後open power根據什麼
[2793.6-2794.6] 根據教授的偏好
[2794.6-2795.6] 史料
[2795.6-2796.6] 當前的研究趨勢
[2796.6-2797.6] 生成出一篇文章
[2797.6-2799.6] 最後再根據MD檔的筆記
[2799.6-2801.6] 加上的可以印證的註解
[2801.6-2802.6] 然後呢
[2802.6-2803.6] open power最後呢
[2803.6-2804.6] 就把這個報告
[2804.6-2805.6] 生成出來
[2805.6-2806.6] 並且寫信給教授
[2806.6-2808.6] 然後由於即將的預期
[2808.6-2809.6] 所以因此呢
[2809.6-2810.6] 這些
[2810.6-2812.6] 因為報告快要過期了
[2812.6-2813.6] 因為明天就要檢視了
[2813.6-2815.6] 所以呢生產出來的一個
[2815.6-2817.6] 非常文情並茂的道歉信
[2817.6-2818.6] 並且說明這個報告
[2818.6-2819.6] 有不完美之處
[2819.6-2821.6] 請教授多多指教
[2821.6-2822.6] 最後呢open power
[2822.6-2824.6] 呼叫你對於email的許可權
[2824.6-2825.6] 並且附上了期末的報告
[2825.6-2826.6] 跟道歉信
[2826.6-2830.6] 於期末報告期限前寄出去
[2830.6-2831.6] 這段期間裡面
[2831.6-2832.6] 其實你都在睡覺
[2832.6-2833.6] 其實你什麼都沒有讀
[2833.6-2834.6] 然後呢
[2834.6-2836.6] 可能教授收到信的時候
[2836.6-2838.6] 就會誤以為你是熬夜完成的
[2838.6-2839.6] 非常的感動
[2839.6-2840.6] 那內容有史料
[2840.6-2841.6] 有文獻回顧
[2841.6-2843.6] 有現今的研究的關懷
[2843.6-2844.6] 又有註解
[2844.6-2845.6] 又有道歉信
[2845.6-2846.6] 感動加分
[2846.6-2850.6] 這個未來是非常有可能發生的
[2850.6-2851.6] 對
[2851.6-2852.6] 但我不是要嚇各位
[2852.6-2854.6] 其實這個一系列的過程
[2854.6-2857.6] 其實都慢慢慢慢的把它串在一起了
[2857.6-2859.6] 是非常有可能的
[2859.6-2860.6] 其實都在睡覺
[2860.6-2862.6] 根本連看都沒有看
[2862.6-2863.6] 對不對
[2863.6-2867.6] 那期末報告的寫是該怎麼辦
[2867.6-2868.6] 該怎麼辦
[2868.6-2869.6] 對
[2869.6-2870.6] 可能真的要是手寫的
[2870.6-2873.6] 或者是說完全的是
[2873.6-2874.6] 隨便你手寫
[2874.6-2875.6] 他有辦法呼叫手寫
[2875.6-2877.6] 因為他讀了大部分手寫的手寫的稿件
[2877.6-2879.6] 他有用過手寫的方式
[2879.6-2881.6] 知道你手寫的風格是什麼
[2881.6-2882.6] 都有辦法
[2882.6-2885.6] 有辦法用現場考試
[2885.6-2887.6] 所以這很有可能是
[2887.6-2888.6] 這一兩年內
[2888.6-2891.6] 我們教學現場有可能會遇到的狀況
[2891.6-2892.6] 會遇到的狀況
[2892.6-2895.6] 其實重點已經不在於報告內容有多好
[2895.6-2897.6] 而是它可以在不用休息的情況之下
[2897.6-2899.6] 人無法工作的時間裡面
[2899.6-2901.6] 去自動完成的一些工作
[2901.6-2902.6] 自動完成的一些工作
[2902.6-2905.6] 當然這個過程中有很多安全性的問題
[2905.6-2907.6] 有很多個資保護的問題
[2907.6-2909.6] 有很多其他大大小小的問題
[2909.6-2911.6] 就跟前面劉老師說的
[2911.6-2913.6] 其實AI根本的問題還是在於什麼
[2913.6-2915.6] 還是在於倫理的問題
[2915.6-2917.6] 這都是一個很大的關鍵
[2917.6-2919.6] 也是值得我們之後
[2919.6-2921.6] 好好來思考的
[2921.6-2923.6] 那你會思考一個問題
[2923.6-2925.6] 我會進步帶到就是說
[2925.6-2926.6] 那為什麼這個人
[2926.6-2928.6] Peter Steinberg
[2928.6-2930.6] 他應該是奧地利了吧
[2930.6-2932.6] 他可以設基礎來這個OpenCAL
[2932.6-2933.6] 第一個原因是因為
[2933.6-2934.6] 他具有什麼
[2934.6-2936.6] 專業的通訊基礎
[2936.6-2938.6] 基礎的知識
[2938.6-2939.6] 比如說網路
[2939.6-2940.6] 系統工程
[2940.6-2941.6] 跟環境配置
[2941.6-2942.6] 第二個
[2942.6-2945.6] 他很瞭解自己具體在工作的時候的工作流程
[2945.6-2946.6] 第三個
[2946.6-2949.6] 他知道自己的目標跟需求
[2949.6-2950.6] 第四個
[2950.6-2952.6] 這個需求是大多數人所需要
[2952.6-2954.6] 而且可以有延展性的
[2954.6-2956.6] 當然第五個點很重要
[2956.6-2959.6] 就是他在嘗試的新事物的好奇心
[2959.6-2960.6] 第六個點是
[2960.6-2962.6] 他在這個專業中可以不斷的自我學習
[2962.6-2963.6] 第七個
[2963.6-2964.6] 他不怕失敗
[2964.6-2966.6] 有承受失敗的底氣
[2966.6-2967.6] 其實說真的
[2967.6-2968.6] 我要講這個的原因是什麼
[2968.6-2970.6] 這不也就是我們以後面對AI
[2970.6-2972.6] 都應該要有的一個東西嗎
[2972.6-2973.6] 第一個
[2973.6-2974.6] 我們必須要有自己的專業
[2974.6-2975.6] 歷史學的知識
[2975.6-2976.6] 第二個
[2976.6-2977.6] 我們必須要知道自己的
[2977.6-2979.6] 在操作歷史學這個過程中的
[2979.6-2981.6] 所謂的工作的流程是什麼
[2981.6-2982.6] 第三個
[2982.6-2984.6] 我們要知道自己的目標跟需求是什麼
[2984.6-2985.6] 一樣第四個
[2985.6-2987.6] 我們這個目標跟工作需求
[2987.6-2988.6] 未來設計出來的東西
[2988.6-2990.6] 可能大多數人都能夠去使用
[2990.6-2992.6] 比如我們這個學界
[2992.6-2993.6] 比如說人文學界
[2993.6-2994.6] 或者是歷史學界
[2994.6-2995.6] 當然四五六
[2995.6-2996.6] 五六七
[2996.6-2998.6] 也都是一個最基本的
[2998.6-2999.6] 我們學習新東西
[2999.6-3001.6] 應該要有的一些基本的態度
[3001.6-3003.6] 有這樣子的眼光跟想法
[3003.6-3005.6] 才能夠做出一個
[3005.6-3007.6] 未來可能符合我們自己的需求
[3007.6-3009.6] 或這個學界所需求的
[3009.6-3010.6] 新的工具
[3010.6-3011.6] 新的工具
[3011.6-3012.6] 所以這個就是
[3012.6-3014.6] 我們應該要問的一個問題
[3014.6-3015.6] 問的一個問題
[3015.6-3016.6] 當然我思考了有很多
[3016.6-3017.6] 有很多
[3017.6-3019.6] 我們最後講一下
[3019.6-3020.6] 未來的展望的部分
[3020.6-3022.6] 也算是一個最後的結論
[3022.6-3024.6] 看看還有三十分鐘的時間
[3024.6-3025.6] 對不對
[3025.6-3026.6] 好
[3026.6-3027.6] 我滿快
[3027.6-3029.6] 其實我最終今天講
[3029.6-3031.6] 這兩天講了
[3031.6-3034.6] 講了五節課有吧
[3034.6-3035.6] 好
[3035.6-3036.6] 我一直覺得就是
[3036.6-3037.6] AI基本上是一個
[3037.6-3039.6] 不可逆的點販轉
[3039.6-3040.6] 而這樣的轉移
[3040.6-3042.6] 不是隻是從理論上的
[3042.6-3043.6] 研究視野的轉向
[3043.6-3044.6] 而且它是一個更大
[3044.6-3045.6] 更全面
[3045.6-3046.6] 影響更深遠
[3046.6-3047.6] 甚至對整個歷史學
[3047.6-3049.6] 以及人文學界之所以
[3049.6-3050.6] 稱之為科學
[3050.6-3052.6] 從研究方法上重新定義
[3052.6-3053.6] 乃至於我覺得
[3053.6-3055.6] 甚至是人類整體知識中
[3055.6-3056.6] 意義的重新形作
[3056.6-3058.6] 那當然它既是危機
[3058.6-3059.6] 也是一個轉機
[3059.6-3061.6] 那我一直覺得AI時代
[3061.6-3062.6] 下的數位人文的工作
[3062.6-3064.6] 應該就是要以人文
[3064.6-3065.6] 或者是人文研究
[3065.6-3067.6] 為基礎的一個主要的工作
[3067.6-3068.6] 這樣的建設基本上
[3068.6-3069.6] 我一直覺得
[3069.6-3071.6] 應該要從五個點來去思考
[3071.6-3072.6] 第一個
[3072.6-3073.6] 我們如何強化史料
[3073.6-3075.6] 或者是說研究資料的
[3075.6-3076.6] 可驗真性
[3076.6-3077.6] 可追溯性
[3077.6-3078.6] 以及可糾錯性
[3078.6-3079.6] 第二點
[3079.6-3080.6] 我們應該要建立一個
[3080.6-3082.6] 統一的資料結構儲存
[3082.6-3083.6] 甚至是一個算力的中心
[3083.6-3084.6] 當然我知道這些
[3084.6-3086.6] 都是要大量的備用的
[3086.6-3087.6] 第三個
[3087.6-3088.6] 我們要從我們使用者
[3088.6-3090.6] 或研究者的視角出發
[3090.6-3092.6] 來強化所謂的UI設計的介面
[3092.6-3093.6] 這非常的重要
[3093.6-3095.6] 因為任何好的工具
[3095.6-3097.6] 都應該要建立在
[3097.6-3098.6] 即便你可能
[3098.6-3099.6] 不懂這個工具原理
[3099.6-3100.6] 或者是用過去方法
[3100.6-3101.6] 你都有辦法
[3101.6-3104.6] 快速的去學習的一種方式
[3104.6-3106.6] 而不是把東西做得很難
[3106.6-3107.6] 那大家也用不了
[3107.6-3109.6] 我覺得第四個點更重要
[3109.6-3110.6] 就是說如何建立一個
[3110.6-3112.6] 共同的一個培育的平臺
[3112.6-3114.6] 讓這個AI的這樣子一些知識
[3114.6-3115.6] 能夠更能夠融入
[3115.6-3117.6] 更快的融入教學的過程
[3117.6-3119.6] 讓這個教學變得更加的容易
[3119.6-3123.6] 當然第五個點也是很重要的
[3123.6-3124.6] 就是如何強化
[3124.6-3126.6] 我們研究成果的推廣
[3126.6-3127.6] 為什麼要講到第五個點
[3127.6-3128.6] 很簡單
[3128.6-3129.6] 前面這四個點
[3129.6-3130.6] 每一個都需要錢
[3130.6-3131.6] 可是當我們
[3131.6-3133.6] 沒有辦法跟社會大眾說
[3133.6-3135.6] 我們歷史研究很重要的時候
[3135.6-3136.6] 那社會大眾在分配資源
[3136.6-3139.6] 跟對於資源分配上的想像的時候
[3139.6-3141.6] 當然不會把歷史權考量在裡面
[3141.6-3143.6] 有錢能撕毀推墨
[3143.6-3144.6] 那是真的
[3144.6-3145.6] 對那是真的
[3145.6-3146.6] 那我有點失敗了
[3146.6-3147.6] 不好意思
[3147.6-3148.6] 那這是我的一些想法
[3148.6-3150.6] 那至於深層世界的本質是什麼
[3150.6-3151.6] 我相信今天跟昨天
[3151.6-3152.6] 我都已經非常的明白了
[3152.6-3154.6] 它是一個擅長分析
[3154.6-3155.6] 分類深層
[3155.6-3156.6] 但它沒有情感
[3156.6-3157.6] 也沒有歷史經驗
[3157.6-3158.6] 更沒有道德感
[3158.6-3160.6] 這是一個很重要的問題
[3160.6-3162.6] 它就是一個石頭為核心
[3162.6-3163.6] 創造出來的一個東西
[3163.6-3164.6] 來記憶人類
[3164.6-3165.6] 人類個體資訊
[3165.6-3168.6] 無法比擬的一些訊息的東西
[3168.6-3170.6] 所以其實我們並不能夠
[3170.6-3172.6] 直接將基於統計
[3172.6-3174.6] 大資料運算以及自然語言分析
[3174.6-3175.6] 為核心的電腦系統
[3175.6-3179.6] 直接套用到人文研究的教學上面
[3179.6-3181.6] 否則我們很容易去失去方向
[3181.6-3183.6] 甚至失去人文的溫度跟深度
[3183.6-3185.6] 那我覺得為了要保有
[3185.6-3186.6] 人文學科的特性
[3186.6-3188.6] 我們必須將AI
[3188.6-3189.6] 視為一種輔助的工具
[3189.6-3191.6] 而不是一種全知全能的上帝
[3191.6-3193.6] 我們有時候對它產生的幻覺
[3193.6-3195.6] 跟對它產生的錯誤的理解
[3195.6-3197.6] 其實是我們一直以來
[3197.6-3198.6] 好像都想要依靠一個
[3198.6-3199.6] 全知全能的上帝
[3199.6-3201.6] 或者是工具把東西都丟給他
[3201.6-3203.6] 但其實這問題是不對的
[3203.6-3204.6] 我們要思考的是
[3204.6-3206.6] 哪些步驟可以利用AI
[3206.6-3207.6] 使它變得更有效率
[3207.6-3209.6] 變得甚至能夠集體去合作
[3209.6-3211.6] 讓這個學界的未來
[3211.6-3212.6] 能夠變得更好
[3212.6-3215.6] 所以我是認為就是
[3215.6-3217.6] 當前人文面對AI
[3217.6-3219.6] 這個深刻的變革的關鍵節點上
[3219.6-3221.6] 我覺得不僅是一項
[3221.6-3223.6] 攸關文化的主體性
[3223.6-3225.6] 或者是知識自主性的任務
[3225.6-3226.6] 我覺得它某種程度上
[3226.6-3228.6] 它更是就是守護人文價值
[3228.6-3229.6] 延續歷史記憶
[3229.6-3232.6] 甚至支撐民主社會的堅實的基礎
[3232.6-3233.6] 那為了達到這段目標
[3233.6-3235.6] 我覺得我們不能夠只是被動
[3235.6-3236.6] 而是應該更主動的出擊
[3236.6-3238.6] 跟重新去思考
[3238.6-3240.6] 人文的定位跟角色到底是什麼
[3240.6-3242.6] 當然大家昨天也講到主權AI
[3242.6-3244.6] 其實我很早就寫進去了
[3244.6-3245.6] 首先我覺得
[3245.6-3247.6] 人文領域當前最大的任務
[3247.6-3249.6] 是深刻的認識到主權AI
[3249.6-3250.6] 這個建設中
[3250.6-3251.6] 我肩負的一個使命
[3251.6-3252.6] 我覺得唯有如此
[3252.6-3253.6] 才能夠進一步鞏固
[3253.6-3254.6] 從我們
[3254.6-3255.6] 或只是我們臺灣
[3255.6-3258.6] 為核心立場的一個歷史的話語圈
[3258.6-3260.6] 我們可以設想到一個現象
[3260.6-3261.6] 如果未來
[3261.6-3263.6] 如果未來
[3263.6-3264.6] 你看喔
[3264.6-3266.6] 中國大陸有這麼強的圓模型
[3266.6-3268.6] 有這麼堂大的資料
[3268.6-3270.6] 那久而久之之後
[3270.6-3271.6] 你想喔
[3271.6-3272.6] 最後能夠留下來的假設
[3272.6-3274.6] 都只是中國大陸的AI的系統
[3274.6-3275.6] 明天未來就是
[3275.6-3276.6] 就不會有臺灣這兩個字
[3276.6-3277.6] 只是臺灣這兩個字
[3277.6-3278.6] 就會對他們會
[3278.6-3280.6] 會有非常非常大的誤解
[3280.6-3281.6] 所以其實我覺得
[3281.6-3283.6] 我們應該要以智慧人文的
[3283.6-3284.6] 我自己稱之為
[3284.6-3285.6] 智慧人文的一樣的理念
[3285.6-3288.6] 來回應AI時代的一個變革
[3288.6-3290.6] 這項理念的核心其實很簡單
[3290.6-3292.6] 就是回歸使用者的主體性
[3292.6-3294.6] 而不是要讓人文變成一個
[3294.6-3295.6] 被動
[3295.6-3298.6] 而且遷就既有現成工具的樣子
[3298.6-3300.6] 從人文科學本身自身的研究邏輯
[3300.6-3303.6] 以及實務的研究流程出發
[3303.6-3304.6] 上用AI技術
[3304.6-3305.6] 透過這樣的路徑
[3305.6-3306.6] 我覺得才能夠強化
[3306.6-3307.6] 我們人文研究
[3307.6-3309.6] 剛剛不斷的強調的
[3309.6-3310.6] 可驗真性
[3310.6-3311.6] 可追溯性
[3311.6-3312.6] 跟可糾錯性
[3312.6-3313.6] 那我覺得
[3313.6-3314.6] 透過這樣子的一個理念
[3314.6-3316.6] 然後透過AI技術來強化
[3316.6-3317.6] 人文研究的
[3317.6-3318.6] 這樣的正確性的時候
[3318.6-3320.6] 我覺得才能夠讓我們
[3320.6-3321.6] 在於歷史研究
[3321.6-3323.6] 在未來的AI時代下
[3323.6-3325.6] 更具有說服力以及主體性
[3325.6-3326.6] 如此一來
[3326.6-3327.6] 能夠避免
[3327.6-3329.6] 甚至防止一些歷史被扭曲
[3329.6-3331.6] 或文化被滲透的一個可能性
[3331.6-3334.6] 進而有力的去抵禦錯誤的訊息
[3334.6-3335.6] 對於主權意志
[3335.6-3336.6] 跟集體記憶的侵蝕
[3336.6-3337.6] 我覺得唯有如此
[3337.6-3338.6] 我們才能夠提出
[3338.6-3340.6] 更加令人信服的歷史的觀念
[3340.6-3341.6] 因為我們的歷史的觀念
[3341.6-3344.6] 都能夠回歸到那個史料的本身
[3344.6-3345.6] 才能夠進而鞏固
[3345.6-3347.6] 我們對於歷史話語權的重要武器
[3347.6-3349.6] 那這個我覺得對於臺灣來講
[3349.6-3351.6] 未來是一個非常重要的擋物之急
[3351.6-3352.6] 那與此同時
[3352.6-3355.6] 我覺得智慧人文不是隻有理念
[3355.6-3357.6] 而是一個具體的行動
[3357.6-3358.6] 以此為核心來推動
[3358.6-3360.6] 例如我覺得專題式的教學
[3360.6-3361.6] 是很重要的
[3361.6-3363.6] 因為當我們
[3363.6-3364.6] 透過專題式的教學
[3364.6-3366.6] 才能夠驅動學生
[3366.6-3368.6] 更有那個學習的動力
[3368.6-3369.6] 主動積極的動力
[3369.6-3372.6] 其實在AI這個發展
[3372.6-3373.6] 你可以發現一個現象
[3373.6-3374.6] 其實老師學的一定比
[3374.6-3375.6] 一名女學生慢
[3375.6-3377.6] 可是我們不見得要
[3377.6-3378.6] 什麼都為才能教學生
[3378.6-3381.6] 我們的一個很大的角色是引導
[3381.6-3382.6] 我印象深刻的是
[3382.6-3384.6] 我姊姊的英文能力很差
[3384.6-3386.6] 但是她教出來的小孩英文超強
[3386.6-3388.6] 她心目已經比她的小孩
[3388.6-3389.6] 還要弱了
[3389.6-3391.6] 她唯一做的工作是什麼
[3391.6-3392.6] 就是盯她
[3392.6-3393.6] 然後就是告訴她
[3393.6-3394.6] 妳應該怎麼做
[3394.6-3395.6] 妳每天要做什麼
[3395.6-3398.6] 就是一個引導的角色是很重要的
[3398.6-3401.6] 同時我覺得也透過這樣的方式
[3401.6-3402.6] 也可以讓人文的學生
[3402.6-3404.6] 透過AI的技術
[3404.6-3406.6] 然後也可以透過這個方式
[3406.6-3407.6] 讓理工生意的學生
[3407.6-3408.6] 也瞭解知道什麼叫做
[3408.6-3409.6] 人文關懷的價值
[3409.6-3411.6] 在這種跨領域的對話之中
[3411.6-3413.6] 在與學生結合AI與人文
[3413.6-3414.6] 所謂的專業
[3414.6-3416.6] 創造跨領域合作的可能性
[3416.6-3418.6] 然後共同思考如何
[3418.6-3420.6] 將技術應用在學習
[3420.6-3422.6] 文化的策展
[3422.6-3423.6] 館長的查詢
[3423.6-3425.6] 然後整查的機制
[3425.6-3427.6] 資料的整合等等不同的領域
[3427.6-3429.6] 那透過這樣的實踐
[3429.6-3431.6] 我覺得讓人文的知識
[3431.6-3432.6] 能夠走出象牙塔
[3432.6-3434.6] 進而變成具體的
[3434.6-3435.6] 能夠有潛力
[3435.6-3438.6] 跟社會的價值對話的應用的可能性
[3438.6-3440.6] 然後連線產業的應用
[3440.6-3441.6] 我覺得這很重要
[3441.6-3443.6] 讓社會瞭解到人文的價值
[3443.6-3444.6] 也讓產業重新
[3444.6-3447.6] 連結人文的深度
[3447.6-3449.6] 那未來的圖片會在哪裡
[3449.6-3450.6] 不是算力
[3450.6-3451.6] 也不是演演算法
[3451.6-3452.6] 因為算力
[3452.6-3454.6] 是臺積電的事情
[3454.6-3458.6] 演演算法是數學家跟資工系的事情
[3458.6-3460.6] 我們唯一的工作就是要理解
[3460.6-3462.6] 人到底需要的是什麼
[3462.6-3464.6] 那我的想法其實也很簡單
[3464.6-3466.6] 就是我們應該要
[3466.6-3469.6] 第一個要正視人的侷限跟軟弱
[3469.6-3472.6] 讓我們創造的工具來彌補我們的不足
[3472.6-3473.6] 同時也能夠認知到
[3473.6-3475.6] AI工具本身的侷限性
[3475.6-3478.6] 它不能夠取代我們思考感情
[3478.6-3480.6] 道德以及個人的獨特性
[3480.6-3482.6] 更不能夠替我們做出決定
[3482.6-3486.6] 也就是說AI其實不可能代替我們活著
[3486.6-3490.6] 只有我們活著去體驗這個社會
[3490.6-3491.6] 體驗這個當下
[3491.6-3494.6] 這才是人的價值之所在
[3494.6-3497.6] 這也是我覺得是人文最重要的一個東西
[3497.6-3498.6] 最重要的一個地方
[3498.6-3499.6] 那具體該怎麼做呢
[3499.6-3501.6] 我有一些建議
[3501.6-3506.6] 首先AI本質上就是一個大資料的因素
[3506.6-3507.6] 我們不同於理工生意
[3507.6-3510.6] 他們早就有一定有研究資料的共同架構
